Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
V2 Retail Ltd.,Retail and Other Services,Small-Cap,December-2025,70444,17.25
Indigo Paints Ltd.,Chemicals,Small-Cap,December-2025,140725,17.08
Jubilant Ingrevia Ltd.,Chemicals,Small-Cap,December-2025,240093,16.94
Studds Accessories Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,308074,16.73
Thyrocare Technologies Ltd.,Healthcare,Small-Cap,December-2025,351977,16.57
Redington Ltd.,Miscellaneous,Small-Cap,December-2025,596832,16.52
Steelcast Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,767229,16.51
Clean Science And Technology Ltd.,Chemicals,Small-Cap,December-2025,184283,16.49
Inox Wind Ltd.,Capital Goods,Small-Cap,December-2025,1277091,16.48
Voltamp Transformers Ltd.,Capital Goods,Small-Cap,December-2025,20427,16.35
CCL Products (India) Ltd.,FMCG,Small-Cap,December-2025,166636,16.27
Vesuvius India Ltd.,Capital Goods,Small-Cap,December-2025,336739,16.13
Aditya Birla Real Estate Ltd.,Construction,Small-Cap,December-2025,93232,16.08
Ventive Hospitality Ltd.,Travel,Small-Cap,December-2025,213526,15.92
Avanti Feeds Ltd.,Miscellaneous,Small-Cap,December-2025,190014,15.57
NHPC Ltd.,Energy,Mid-Cap,December-2025,1994242,15.55
NLC India Ltd.,Energy,Mid-Cap,December-2025,620092,15.30
Pennar Industries Ltd.,Metals,Small-Cap,December-2025,695334,15.11
Urban Company Ltd.,Miscellaneous,Small-Cap,December-2025,1132603,15.08
Ecos (India) Mobility & Hospitality Ltd.,Miscellaneous,Small-Cap,December-2025,671275,14.86
Leela Palaces Hotels & Resorts Ltd.,Travel,Small-Cap,December-2025,348440,14.73
EIH Ltd.,Travel,Small-Cap,December-2025,392273,14.56
Gulf Oil Lubricants India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,121427,14.46
Hindustan Copper Ltd.,Metals,Small-Cap,December-2025,338144,14.29
Endurance Technologies Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,53388,13.97
Marksans Pharma Ltd.,Healthcare,Small-Cap,December-2025,749421,13.80
Sumitomo Chemical India Ltd.,Chemicals,Small-Cap,December-2025,292088,13.68
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Small-Cap,December-2025,294851,13.60
Metro Brands Ltd.,Retail and Other Services,Small-Cap,December-2025,114413,13.60
DOMS Industries Ltd.,FMCG,Small-Cap,December-2025,53023,13.59
Cera Sanitaryware Ltd.,Construction,Small-Cap,December-2025,25167,13.56
MTAR Technologies Ltd.,Capital Goods,Small-Cap,December-2025,54586,13.51
Knowledge Marine & Engineering Works Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,80272,13.10
Hikal Ltd.,Healthcare,Small-Cap,December-2025,564666,12.70
Titagarh Rail Systems Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,145461,12.50
Shilpa Medicare Ltd.,Healthcare,Small-Cap,December-2025,371277,12.30
LIC Housing Finance Ltd.,Financials,Small-Cap,December-2025,225371,12.27
Indo Count Industries Ltd.,Textile,Small-Cap,December-2025,403118,12.23
