Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Indegene Ltd.,Miscellaneous,Small-Cap,November-2025,744722,39.87
E.I.D. - Parry (India) Ltd.,FMCG,Small-Cap,November-2025,375561,39.50
Quess Corp Ltd.,Miscellaneous,Small-Cap,November-2025,1731256,39.38
Coromandel International Ltd.,Chemicals,Mid-Cap,November-2025,174007,39.21
EPACK Durable Ltd.,Consumer Durables,Small-Cap,November-2025,1276444,39.01
Poly Medicure Ltd.,Healthcare,Small-Cap,November-2025,197521,38.90
Mastek Ltd.,Technology,Small-Cap,November-2025,178304,38.81
International Gemmological Institute (India) Ltd.,Miscellaneous,Small-Cap,November-2025,1163367,38.72
Venus Pipes & Tubes Ltd.,Metals,Small-Cap,November-2025,297771,37.85
UNO Minda Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,296383,37.67
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Small-Cap,November-2025,817453,37.64
SIS Ltd.,Miscellaneous,Small-Cap,November-2025,1123338,37.21
Ethos Ltd.,Retail and Other Services,Small-Cap,November-2025,123339,36.72
Pace Digitek Ltd.,Media and Communications,Small-Cap,November-2025,1693050,36.32
Brainbees Solutions Ltd.,Retail and Other Services,Small-Cap,November-2025,1110321,36.14
Poonawalla Fincorp Ltd.,Financials,Mid-Cap,November-2025,745359,35.86
NHPC Ltd.,Energy,Mid-Cap,November-2025,4426968,35.77
The Jammu & Kashmir Bank Ltd.,Financials,Small-Cap,November-2025,3329561,35.48
Gujarat Mineral Development Corporation Ltd.,Energy,Small-Cap,November-2025,621614,35.23
Bajaj Electricals Ltd.,Consumer Durables,Small-Cap,November-2025,707799,35.22
Jyoti CNC Automation Ltd.,Capital Goods,Small-Cap,November-2025,362799,34.00
DCB Bank Ltd.,Financials,Small-Cap,November-2025,1953149,33.35
Dodla Dairy Ltd,FMCG,Small-Cap,November-2025,259079,33.31
Saatvik Green Energy Ltd.,Capital Goods,Small-Cap,November-2025,704764,32.97
Godrej Properties Ltd.,Construction,Mid-Cap,November-2025,145894,32.12
EIH Ltd.,Travel,Small-Cap,November-2025,828687,31.65
Healthcare Global Enterprises Ltd.,Healthcare,Small-Cap,November-2025,427047,31.55
Canara HSBC Life Insurance Company Ltd.,Financials,Small-Cap,November-2025,2607256,31.21
Endurance Technologies Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,113314,31.06
Data Patterns (India) Ltd.,Capital Goods,Small-Cap,November-2025,108173,30.91
Indo Count Industries Ltd.,Textile,Small-Cap,November-2025,1011965,30.75
Go Digit General Insurance Ltd.,Financials,Small-Cap,November-2025,836326,29.97
TVS Srichakra Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,65774,29.14
Eureka Forbes Ltd.,Consumer Durables,Small-Cap,November-2025,478025,28.91
Jupiter Life Line Hospitals Ltd.,Healthcare,Small-Cap,November-2025,188148,28.87
CMS Info Systems Ltd.,Miscellaneous,Small-Cap,November-2025,788502,28.63
Aditya Vision Ltd.,Retail and Other Services,Small-Cap,November-2025,513544,28.19
Techno Electric & Engineering Company Ltd.,Infrastructure,Small-Cap,November-2025,220787,27.87
The India Cements Ltd.,Construction,Small-Cap,November-2025,691355,27.49
Indiqube Spaces Ltd.,Miscellaneous,Small-Cap,November-2025,1243009,27.28
Bikaji Foods International Ltd.,FMCG,Small-Cap,November-2025,372676,26.98
Gujarat Fluorochemicals Ltd.,Chemicals,Mid-Cap,November-2025,73934,26.49
RR Kabel Ltd.,Capital Goods,Small-Cap,November-2025,187741,26.43
Multi Commodity Exchange Of India Ltd.,Financials,Mid-Cap,November-2025,26454,25.55
Triveni Turbine Ltd.,Capital Goods,Small-Cap,November-2025,460085,24.67
Sonata Software Ltd.,Technology,Small-Cap,November-2025,670172,24.37
Aditya Birla Real Estate Ltd.,Construction,Small-Cap,November-2025,132693,24.22
SH Kelkar And Company Ltd.,Chemicals,Small-Cap,November-2025,1223152,23.99
Can Fin Homes Ltd.,Financials,Small-Cap,November-2025,268548,23.53
Gabriel India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,204318,23.52
Gokaldas Exports Ltd.,Textile,Small-Cap,November-2025,260179,22.97
Atul Ltd.,Chemicals,Small-Cap,November-2025,39125,22.76
Intellect Design Arena Ltd.,Technology,Small-Cap,November-2025,200907,22.56
Astrazeneca Pharma India Ltd.,Healthcare,Small-Cap,November-2025,23259,21.61
UTI Asset Management Company Ltd.,Financials,Small-Cap,November-2025,180773,21.59
Godrej Industries Ltd.,Chemicals,Mid-Cap,November-2025,199277,21.49
Blue Jet Healthcare Ltd.,Healthcare,Small-Cap,November-2025,342611,21.15
Stylam Industries Ltd.,Construction,Small-Cap,November-2025,101082,20.86
Pennar Industries Ltd.,Metals,Small-Cap,November-2025,828129,20.35
Power Mech Projects Ltd.,Infrastructure,Small-Cap,November-2025,82837,20.19
Canara Robeco Asset Management Co Ltd.,Financials,Small-Cap,November-2025,649304,20.14
Jubilant Pharmova Ltd.,Healthcare,Small-Cap,November-2025,183169,20.06
NLC India Ltd.,Energy,Small-Cap,November-2025,781376,19.75
Awfis Space Solutions Ltd.,Miscellaneous,Small-Cap,November-2025,345919,19.65
Kirloskar Ferrous Industries Ltd.,Metals,Small-Cap,November-2025,384962,19.46
Hindustan Copper Ltd.,Metals,Small-Cap,November-2025,580778,19.38
SBI Cards And Payment Services Ltd.,Financials,Mid-Cap,November-2025,214013,18.82
JK Paper Ltd.,FMCG,Small-Cap,November-2025,481997,18.43
Repco Home Finance Ltd.,Financials,Small-Cap,November-2025,439630,18.39
Gulf Oil Lubricants India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,148203,17.92
Inox India Ltd.,Capital Goods,Small-Cap,November-2025,151743,17.88
Signatureglobal (India) Ltd.,Construction,Small-Cap,November-2025,159053,17.47
Godawari Power And Ispat Ltd.,Metals,Small-Cap,November-2025,668731,17.35
Kilburn Engineering Ltd.,Capital Goods,Small-Cap,November-2025,301367,17.23
NMDC Steel Ltd.,Metals,Small-Cap,November-2025,4004026,17.00
Hindustan Zinc Ltd.,Metals,Large-Cap,November-2025,351512,16.90
Sapphire Foods India Ltd.,FMCG,Small-Cap,November-2025,630659,16.86
RHI Magnesita India Ltd.,Capital Goods,Small-Cap,November-2025,348883,16.42
Alivus Life Sciences Ltd.,Healthcare,Small-Cap,November-2025,181375,16.35
Niva Bupa Health Insurance Company Ltd.,Financials,Small-Cap,November-2025,2186389,16.33
TARC Ltd.,Construction,Small-Cap,November-2025,1046527,15.66
Sharda Motor Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,156765,15.43
Aarti Pharmalabs Ltd.,Healthcare,Small-Cap,November-2025,196200,15.23
Prudent Corporate Advisory Services Ltd.,Financials,Small-Cap,November-2025,60430,15.19
Timken India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,47404,14.93
Edelweiss Financial Services Ltd.,Financials,Small-Cap,November-2025,1331442,14.90
Sun TV Network Ltd.,Media and Communications,Small-Cap,November-2025,264295,14.77
Newgen Software Technologies Ltd.,Technology,Small-Cap,November-2025,157802,14.65
ISGEC Heavy Engineering Ltd.,Infrastructure,Small-Cap,November-2025,170608,14.55
Utkarsh Small Finance Bank Ltd.,Financials,Small-Cap,November-2025,7954770,14.52
Senco Gold Ltd.,Retail and Other Services,Small-Cap,November-2025,453612,14.42
Cholamandalam Financial Holdings Ltd.,Financials,Mid-Cap,November-2025,76555,14.39
Keystone Realtors Ltd,Construction,Small-Cap,November-2025,256570,14.18
Caplin Point Laboratories Ltd.,Healthcare,Small-Cap,November-2025,71727,14.14
NIIT Learning Systems Ltd. ,Technology,Small-Cap,November-2025,389000,14.07
Dredging Corporation Of India Ltd.,Logistics,Small-Cap,November-2025,174490,13.95
The Karnataka Bank Ltd.,Financials,Small-Cap,November-2025,714173,13.94
Nestle India Ltd.,FMCG,Large-Cap,November-2025,110036,13.93
Cello World Ltd.,Miscellaneous,Small-Cap,November-2025,220884,13.81
Aditya Birla Sun Life AMC Ltd.,Financials,Small-Cap,November-2025,184219,13.79
Dynamatic Technologies Ltd.,Capital Goods,Small-Cap,November-2025,15990,13.72
Metro Brands Ltd.,Retail and Other Services,Small-Cap,November-2025,118660,13.64
KSB Ltd.,Capital Goods,Small-Cap,November-2025,174328,13.58
Arvind Smartspaces Ltd.,Construction,Small-Cap,November-2025,219271,13.51
GHCL Ltd.,Chemicals,Small-Cap,November-2025,221683,13.47
CESC Ltd.,Energy,Small-Cap,November-2025,766600,13.43
Garware Hi-Tech Films Ltd.,Consumer Durables,Small-Cap,November-2025,35885,13.17
Sudarshan Chemical Industries Ltd.,Chemicals,Small-Cap,November-2025,119376,12.91
Vesuvius India Ltd.,Capital Goods,Small-Cap,November-2025,265787,12.90
Westlife Foodworld Ltd,Retail and Other Services,Small-Cap,November-2025,221162,12.83
Marksans Pharma Ltd.,Healthcare,Small-Cap,November-2025,670747,12.41
Aditya Birla Fashion and Retail Ltd.,Retail and Other Services,Small-Cap,November-2025,1529057,12.22
HEG Ltd.,Capital Goods,Small-Cap,November-2025,201114,11.25
LIC Housing Finance Ltd.,Financials,Small-Cap,November-2025,194004,10.86
Safari Industries (India) Ltd.,FMCG,Small-Cap,November-2025,47440,10.83
Samhi Hotels Ltd.,Travel,Small-Cap,November-2025,533119,10.73
Union Bank Of India,Financials,Large-Cap,November-2025,703167,10.62
Shilpa Medicare Ltd.,Healthcare,Small-Cap,November-2025,304650,10.58
Garden Reach Shipbuilders & Engineers Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,39558,10.58
FDC Ltd.,Healthcare,Small-Cap,November-2025,235968,10.32
NTPC Ltd.,Energy,Large-Cap,November-2025,311059,10.32
HDB Financial Services Ltd.,Financials,Mid-Cap,November-2025,136747,10.25
Excelsoft Technologies Ltd.,Retail and Other Services,Small-Cap,November-2025,833375,9.98
Max Estates Ltd.,Construction,Small-Cap,November-2025,198316,9.45
Bluestone Jewellery And Lifestyle Ltd.,Retail and Other Services,Small-Cap,November-2025,148284,9.39
Electronics Mart India Ltd.,Retail and Other Services,Small-Cap,November-2025,686279,9.37
Arvind Ltd.,Textile,Small-Cap,November-2025,278583,9.35
