Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Deepak Nitrite Ltd.,Chemicals,Small-Cap,February-2026,76803,12.38
Rubicon Research Ltd.,Miscellaneous,Small-Cap,February-2026,169743,12.34
Awfis Space Solutions Ltd.,Miscellaneous,Small-Cap,February-2026,360853,12.28
Triveni Engineering & Industries Ltd.,FMCG,Small-Cap,February-2026,317657,12.23
Jagran Prakashan Ltd.,Media and Communications,Small-Cap,February-2026,1871242,12.17
Ceigall India Ltd.,Infrastructure,Small-Cap,February-2026,435590,12.07
Gokaldas Exports Ltd.,Textile,Small-Cap,February-2026,198823,11.83
SpiceJet Ltd.,Travel,Small-Cap,February-2026,6087295,11.82
V-Mart Retail Ltd.,Retail and Other Services,Small-Cap,February-2026,194822,11.55
Ellenbarrie Industrial Gases Ltd.,Energy,Small-Cap,February-2026,435891,10.91
Castrol India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,582224,10.8
Garware Technical Fibres Ltd.,Textile,Small-Cap,February-2026,163343,10.59
Lumax Auto Technologies Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,67666,10.51
Kovai Medical Center & Hospital Ltd.,Healthcare,Small-Cap,February-2026,18867,10.11
TD Power Systems Ltd.,Capital Goods,Small-Cap,February-2026,123513,10.08
eMudhra Ltd.,Technology,Small-Cap,February-2026,205701,9.9
Raymond Lifestyle Ltd.,Textile,Small-Cap,February-2026,102463,9.88
Repco Home Finance Ltd.,Financials,Small-Cap,February-2026,248477,9.75
SH Kelkar And Company Ltd.,Chemicals,Small-Cap,February-2026,647684,9.48
Sundram Fasteners Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,101630,9.28
Nitin Spinners Ltd.,Textile,Small-Cap,February-2026,254008,9.01
TeamLease Services Ltd.,Miscellaneous,Small-Cap,February-2026,67124,8.74
ACC Ltd.,Construction,Small-Cap,February-2026,53958,8.71
Kirloskar Pneumatic Company Ltd.,Capital Goods,Small-Cap,February-2026,75660,8.71
ISGEC Heavy Engineering Ltd.,Infrastructure,Small-Cap,February-2026,105493,8.67
Latent View Analytics Ltd.,Miscellaneous,Small-Cap,February-2026,233094,8.67
DAM Capital Advisors Ltd.,Financials,Small-Cap,February-2026,525047,8.59
Technocraft Industries (India) Ltd.,Metals,Small-Cap,February-2026,39763,8.57
Zydus Lifesciences Ltd.,Healthcare,Mid-Cap,February-2026,94217,8.51
Ecos (India) Mobility & Hospitality Ltd.,Miscellaneous,Small-Cap,February-2026,488961,8.39
Aarti Pharmalabs Ltd.,Healthcare,Small-Cap,February-2026,102373,7.56
Quick Heal Technologies Ltd.,Technology,Small-Cap,February-2026,425000,7.53
Kewal Kiran Clothing Ltd.,Textile,Small-Cap,February-2026,150607,7.28
JNK India Ltd.,Capital Goods,Small-Cap,February-2026,303116,7.08
United Foodbrands Ltd.,Retail and Other Services,Small-Cap,February-2026,336328,7.04
Hindustan Aeronautics Ltd.,Capital Goods,Large-Cap,February-2026,15803,6.74
Le Travenues Technology Ltd.,Travel,Small-Cap,February-2026,351212,6.63
TARC Ltd.,Construction,Small-Cap,February-2026,440903,6.6
Procter & Gamble Health Ltd.,Healthcare,Small-Cap,February-2026,12861,6.56
Eureka Forbes Ltd.,Consumer Durables,Small-Cap,February-2026,128209,6.54
Fine Organic Industries Ltd.,Chemicals,Small-Cap,February-2026,14583,6.53
H.G. Infra Engineering Ltd.,Infrastructure,Small-Cap,February-2026,109599,6.48
GNA Axles Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,165144,6.43
