Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Jayaswal Neco Industries Ltd.,Metals,Small-Cap,December-2025,1648487,13.12
Gandhar Oil Refinery (India) Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,964807,12.61
Rail Vikas Nigam Ltd.,Infrastructure,Mid-Cap,December-2025,365227,12.44
Ahluwalia Contracts (India) Ltd.,Construction,Small-Cap,December-2025,123372,12.19
Greenply Industries Ltd.,Construction,Small-Cap,December-2025,428677,11.81
FDC Ltd.,Healthcare,Small-Cap,December-2025,282086,11.81
TVS Motor Company Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,32496,11.78
Shoppers Stop Ltd.,Retail and Other Services,Small-Cap,December-2025,289776,11.75
Sun Pharma Advanced Research Company Ltd.,Miscellaneous,Small-Cap,December-2025,863520,11.61
NIIT Learning Systems Ltd. ,Technology,Small-Cap,December-2025,283419,11.29
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,62220,11.17
VRL Logistics Ltd.,Logistics,Small-Cap,December-2025,408524,11.02
Praj Industries Ltd.,Capital Goods,Small-Cap,December-2025,336130,10.74
Procter & Gamble Hygiene and Health Care Ltd.,FMCG,Mid-Cap,December-2025,8303,10.68
Saregama India Ltd.,Media and Communications,Small-Cap,December-2025,283187,10.6
Paras Defence And Space Technologies Ltd.,Capital Goods,Small-Cap,December-2025,142825,10.01
Krsnaa Diagnostics Ltd.,Healthcare,Small-Cap,December-2025,123387,9.45
KFin Technologies Ltd.,Financials,Small-Cap,December-2025,87947,9.4
India Shelter Finance Corporation Ltd.,Financials,Small-Cap,December-2025,107435,9.05
STL Networks Ltd.,Media and Communications,Small-Cap,December-2025,3975763,9.05
PNC Infratech Ltd.,Infrastructure,Small-Cap,December-2025,361948,9.03
Mahindra Lifespace Developers Ltd.,Construction,Small-Cap,December-2025,216145,8.8
Rajesh Exports Ltd.,Retail and Other Services,Small-Cap,December-2025,468384,8.65
Stanley Lifestyles Ltd.,FMCG,Small-Cap,December-2025,406823,8.49
Natco Pharma Ltd.,Healthcare,Small-Cap,December-2025,95129,8.47
Universal Cables Ltd.,Capital Goods,Small-Cap,December-2025,91405,8.43
KPI Green Energy Ltd.,Infrastructure,Small-Cap,December-2025,175888,8.21
Dee Development Engineers Ltd,Capital Goods,Small-Cap,December-2025,372394,7.88
Himadri Speciality Chemical Ltd.,Chemicals,Small-Cap,December-2025,152095,7.04
Chemplast Sanmar Ltd.,Chemicals,Small-Cap,December-2025,250791,6.84
Triveni Engineering & Industries Ltd.,FMCG,Small-Cap,December-2025,181546,6.77
Authum Investment & Infrastructure Ltd.,Financials,Mid-Cap,December-2025,22956,6.7
TV Today Network Ltd.,Media and Communications,Small-Cap,December-2025,476053,6.66
Sasken Technologies Ltd.,Technology,Small-Cap,December-2025,45610,6.57
Sri Lotus Developers And Realty Ltd.,Construction,Small-Cap,December-2025,400166,6.55
Oriental Hotels Ltd.,Travel,Small-Cap,December-2025,586273,6.42
Lemon Tree Hotels Ltd.,Travel,Small-Cap,December-2025,402969,6.4
JNK India Ltd.,Capital Goods,Small-Cap,December-2025,255065,6.33
Dr. Agarwal's Health Care Ltd.,Healthcare,Small-Cap,December-2025,121227,6.32
H.G. Infra Engineering Ltd.,Infrastructure,Small-Cap,December-2025,77353,6.26
V.S.T. Tillers Tractors Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,10068,5.97
Mold-Tek Packaging Ltd.,Consumer Durables,Small-Cap,December-2025,96760,5.92
S.P. Apparels Ltd.,Textile,Small-Cap,December-2025,79590,5.91
Veranda Learning Solutions Ltd.,Retail and Other Services,Small-Cap,December-2025,293057,5.88
Housing & Urban Development Corporation Ltd.,Financials,Mid-Cap,December-2025,246569,5.76
Quadrant Future Tek Ltd.,Capital Goods,Small-Cap,December-2025,174858,5.61
Chennai Petroleum Corporation Ltd.,Energy,Small-Cap,December-2025,61902,5.42
Prism Johnson Ltd.,Construction,Small-Cap,December-2025,391756,5.34
Dynamatic Technologies Ltd.,Capital Goods,Small-Cap,December-2025,5633,5.24
Midwest Ltd.,Construction,Small-Cap,December-2025,33647,5.17
Ganesha Ecosphere Ltd.,Textile,Small-Cap,December-2025,58418,5.16
Interarch Building Solutions Ltd.,Infrastructure,Small-Cap,December-2025,21253,4.99
Gateway Distriparks Ltd.,Logistics,Small-Cap,December-2025,823154,4.88
LG Balakrishnan & Bros Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,24998,4.69
Apeejay Surrendra Park Hotels Ltd.,Travel,Small-Cap,December-2025,342046,4.66
Bharat Bijlee Ltd.,Capital Goods,Small-Cap,December-2025,16689,4.65
Shaily Engineering Plastics Ltd.,Consumer Durables,Small-Cap,December-2025,18823,4.58
Route Mobile Ltd.,Technology,Small-Cap,December-2025,66668,4.56
Advanced Enzyme Technologies Ltd.,Healthcare,Small-Cap,December-2025,148098,4.55
Bluestone Jewellery And Lifestyle Ltd.,Retail and Other Services,Small-Cap,December-2025,86517,4.45
Jaro Institute of Technology Management and Research Ltd.,Retail and Other Services,Small-Cap,December-2025,79279,4.45
Ellenbarrie Industrial Gases Ltd.,Energy,Small-Cap,December-2025,119409,4.36
Kalpataru Ltd.,Construction,Small-Cap,December-2025,127949,4.36
Kovai Medical Center & Hospital Ltd.,Healthcare,Small-Cap,December-2025,7231,4.25
Praveg Ltd.,Travel,Small-Cap,December-2025,138127,4.21
Ashoka Buildcon Ltd.,Infrastructure,Small-Cap,December-2025,243302,4.21
Somany Ceramics Ltd.,Construction,Small-Cap,December-2025,100856,4.15
