Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Bank Of Maharashtra,Financials,Mid-Cap,February-2026,7456183,52.20
Sanghi Industries Ltd.,Construction,Small-Cap,February-2026,8706249,52.17
Aditya Birla Sun Life AMC Ltd.,Financials,Small-Cap,February-2026,631030,52.16
Bikaji Foods International Ltd.,FMCG,Small-Cap,February-2026,788980,51.13
CESC Ltd.,Energy,Small-Cap,February-2026,3274810,50.48
Poonawalla Fincorp Ltd.,Financials,Mid-Cap,February-2026,1173856,50.11
Timken India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,152316,48.85
Onesource Specialty Pharma Ltd.,Healthcare,Small-Cap,February-2026,383145,48.68
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,944220,48.64
Indian Bank,Financials,Large-Cap,February-2026,496007,47.17
Tata Chemicals Ltd.,Chemicals,Small-Cap,February-2026,638948,46.74
PNGS Reva Diamond Jewellery Ltd.,Retail and Other Services,Small-Cap,February-2026,1191744,46.00
Godrej Agrovet Ltd.,Miscellaneous,Small-Cap,February-2026,778392,45.68
Bayer CropScience Ltd.,Chemicals,Small-Cap,February-2026,95329,43.56
JSW Cement Ltd.,Construction,Small-Cap,February-2026,3551409,42.49
KEC International Ltd.,Infrastructure,Small-Cap,February-2026,678330,42.48
Krishna Institute of Medical Sciences Ltd,Healthcare,Small-Cap,February-2026,629044,42.42
Go Digit General Insurance Ltd.,Financials,Small-Cap,February-2026,1282962,42.36
Thyrocare Technologies Ltd.,Healthcare,Small-Cap,February-2026,1036123,42.15
Birla Corporation Ltd.,Construction,Small-Cap,February-2026,405981,41.74
Sandhar Technologies Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,799348,39.80
Black Box Ltd.,Media and Communications,Small-Cap,February-2026,752695,39.47
Honasa Consumer Ltd.,Miscellaneous,Small-Cap,February-2026,1349141,39.08
Astra Microwave Products Ltd.,Capital Goods,Small-Cap,February-2026,396443,38.68
VRL Logistics Ltd.,Logistics,Small-Cap,February-2026,1399195,38.30
RateGain Travel Technologies Ltd.,Technology,Small-Cap,February-2026,664089,37.90
Hero MotoCorp Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,67246,37.81
Carborundum Universal Ltd.,Capital Goods,Small-Cap,February-2026,464879,37.46
Ujjivan Small Finance Bank Ltd.,Financials,Small-Cap,February-2026,6050012,37.34
Sobha Ltd.,Construction,Small-Cap,February-2026,261750,37.24
BEML Ltd.,Logistics,Small-Cap,February-2026,212239,36.89
Motherson Sumi Wiring India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,8457922,36.52
Dhanuka Agritech Ltd.,Chemicals,Small-Cap,February-2026,336410,35.89
UPL Ltd.,Chemicals,Mid-Cap,February-2026,529309,35.50
Bosch Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,9707,35.32
Gujarat Gas Ltd.,Energy,Small-Cap,February-2026,838805,34.93
Orchid Pharma Ltd.,Healthcare,Small-Cap,February-2026,526053,34.69
NCC Ltd.,Infrastructure,Small-Cap,February-2026,2236430,33.44
Sarda Energy & Minerals Ltd.,Metals,Small-Cap,February-2026,640696,33.36
Aadhar Housing Finance Ltd.,Financials,Small-Cap,February-2026,692141,32.89
Yatra Online Ltd,Travel,Small-Cap,February-2026,2427485,32.35
Cyient Ltd.,Technology,Small-Cap,February-2026,314405,32.27
Inox Wind Ltd.,Capital Goods,Small-Cap,February-2026,3194131,31.95
Piramal Pharma Ltd.,Healthcare,Small-Cap,February-2026,2046745,31.81
Tata Communications Ltd.,Media and Communications,Mid-Cap,February-2026,200689,31.79
Mrs. Bectors Food Specialities Ltd.,FMCG,Small-Cap,February-2026,1429159,30.83
Leela Palaces Hotels & Resorts Ltd.,Travel,Small-Cap,February-2026,694396,30.36
Mahanagar Gas Ltd.,Energy,Small-Cap,February-2026,263266,29.91
Ramkrishna Forgings Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,561906,29.86
Apollo Tyres Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,630898,29.85
RHI Magnesita India Ltd.,Capital Goods,Small-Cap,February-2026,675990,29.74
Bluestone Jewellery And Lifestyle Ltd.,Retail and Other Services,Small-Cap,February-2026,669796,29.39
Orkla India Ltd.,FMCG,Small-Cap,February-2026,498313,29.27
Kilburn Engineering Ltd.,Capital Goods,Small-Cap,February-2026,564081,29.20
Safari Industries (India) Ltd.,FMCG,Small-Cap,February-2026,151607,29.03
Arvind Smartspaces Ltd.,Construction,Small-Cap,February-2026,491982,26.54
Indigo Paints Ltd.,Chemicals,Small-Cap,February-2026,264473,26.20
DCB Bank Ltd.,Financials,Small-Cap,February-2026,1288814,24.82
Pennar Industries Ltd.,Metals,Small-Cap,February-2026,1527241,24.48
Chalet Hotels Ltd.,Travel,Small-Cap,February-2026,275870,23.16
Welspun Corp Ltd.,Metals,Small-Cap,February-2026,296107,23.01
UNO Minda Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,193848,22.98
Aequs Ltd.,Capital Goods,Small-Cap,February-2026,1641948,22.73
JSW Infrastructure Ltd.,Infrastructure,Mid-Cap,February-2026,884634,22.70
DOMS Industries Ltd.,FMCG,Small-Cap,February-2026,94191,22.20
Allcargo Logistics Ltd.,Logistics,Small-Cap,February-2026,17040219,22.02
Siemens Energy India Ltd.,Capital Goods,Mid-Cap,February-2026,81016,21.95
Intellect Design Arena Ltd.,Technology,Small-Cap,February-2026,269943,21.75
GMM Pfaudler Ltd.,Capital Goods,Small-Cap,February-2026,225310,21.50
UTI Asset Management Company Ltd.,Financials,Small-Cap,February-2026,217684,21.33
Pearl Global Industries Ltd.,Textile,Small-Cap,February-2026,135881,21.04
Jain Resource Recycling Ltd.,Metals,Small-Cap,February-2026,521897,21.04
Capillary Technologies India Ltd.,Technology,Small-Cap,February-2026,367384,20.97
Viyash Scientific Ltd.,Healthcare,Small-Cap,February-2026,997025,20.77
Park Medi World Ltd.,Healthcare,Small-Cap,February-2026,1196512,20.74
Inventurus Knowledge Solutions Ltd.,Technology,Small-Cap,February-2026,139929,20.48
Sagility Ltd.,Miscellaneous,Small-Cap,February-2026,4566485,20.43
Graphite India Ltd.,Capital Goods,Small-Cap,February-2026,304125,20.31
Jana Small Finance Bank Ltd.,Financials,Small-Cap,February-2026,545446,19.92
Azad Engineering Ltd.,Capital Goods,Small-Cap,February-2026,125026,19.92
SKF India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,114233,19.58
Jubilant Ingrevia Ltd.,Chemicals,Small-Cap,February-2026,317065,19.35
Supreme Petrochem Ltd.,Energy,Small-Cap,February-2026,299620,19.28
Vijaya Diagnostic Centre Ltd.,Healthcare,Small-Cap,February-2026,193949,19.04
Finolex Industries Ltd.,Consumer Durables,Small-Cap,February-2026,1048953,18.97
Vikram Solar Ltd.,Capital Goods,Small-Cap,February-2026,993579,18.77
Blue Dart Express Ltd.,Logistics,Small-Cap,February-2026,33431,18.68
Voltamp Transformers Ltd.,Capital Goods,Small-Cap,February-2026,22603,18.62
Fusion Finance Ltd.,Financials,Small-Cap,February-2026,1002111,18.62
LT Foods Ltd.,FMCG,Small-Cap,February-2026,478610,18.55
Mangalore Refinery And Petrochemicals Ltd.,Energy,Small-Cap,February-2026,986095,18.40
Archean Chemical Industries Ltd.,Chemicals,Small-Cap,February-2026,318296,18.18
SJS Enterprises Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,105814,18.14
PTC Industries Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,9889,17.80
Godrej Industries Ltd.,Chemicals,Mid-Cap,February-2026,170671,16.79
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Small-Cap,February-2026,369252,16.66
Restaurant Brands Asia Ltd.,Retail and Other Services,Small-Cap,February-2026,2555606,16.22
The Karnataka Bank Ltd.,Financials,Small-Cap,February-2026,836283,16.10
Sanofi Consumer Healthcare India Ltd.,Healthcare,Small-Cap,February-2026,36466,15.93
PTC India Ltd.,Energy,Small-Cap,February-2026,938924,15.91
Neuland Laboratories Ltd.,Healthcare,Small-Cap,February-2026,11968,15.60
